Symbol,cik
upst,1647639
upwk,1627475
urbn,912615
uri,1067701
usb,36104
usfd,1665918
usm,821130
uso,1327068
utf,1275617
utg,1263994
uthr,1082554
utz,1739566
uup,1383151
uvxy,1415311
uwmc,1783398
v,1403161
vac,1524358
val,314808
vale,917851
vc,1111335
vcra,1129260
vcsa,1874944
vctr,1570827
veev,1393052
veon,1468091
verx,1806837
vet,1293135
vfc,103379
vg,1272830
viac,813828
viaca,813828
viav,912093
vici,1705696
vicr,751978
vips,1529192
vir,1706431
virt,1592386
viv,1066119
vixy,1415311
vlo,1035002
vly,714310
vmc,1396009
vmeo,1837686
vmi,102729
vmw,1124610
vne,1733186
vno,899689
vnom,1602065
vnt,1786842
vod,839923
vorb,1843388
voya,1535929
vrns,1361113
vrnt,1166388
vrrm,1682745
vrsk,1442145
vrsn,1014473
vrt,1674101
vrtx,875320
vsat,797721
vsco,1856437
vsh,103730
vst,1692819
vsto,1616318
vtr,740260
vtrs,1792044
vvv,1674910
vxrt,72444
vxx,312070
vz,732712
vzio,1835591
w,1616707
wab,943452
wafd,936528
wal,1212545
wat,1000697
wb,1595761
wba,1618921
wbs,801337
wbt,1650962
wcc,929008
wcn,1318220
wd,1497770
wday,1327811
wdc,106040
wdfc,105132
we,1813756
wec,783325
well,766704
wen,30697
wern,793074
wes,1423902
wex,1309108
wf,1264136
wfc,72971
wfg,1402388
wfrd,1603923
wgo,107687
wh,1722684
whd,1699136
whr,106640
wing,1636222
wire,850460
wish,1822250
wit,1123799
wix,1576789
wk,1445305
wkhs,1425287
wlk,1262823
wll,1255474
wm,823768
wmb,107263
wmg,1319161
wms,1604028
wmt,104169
wns,1356570
wolf,895419
woof,1826470
wor,108516
wpc,1025378
wpm,1323404
wpp,806968
wrb,11544
wrby,1504776
wre,104894
wrk,1732845
wsbc,203596
wsc,1647088
wsfs,828944
wsm,719955
wso,105016
wst,105770
wtfc,1015328
wtm,776867
wtrg,78128
wts,795403
wtw,1140536
wu,1365135
ww,105319
wwd,108312
wwe,1091907
www,110471
wy,106535
wynn,1174922
x,1163302
xel,72903
xlnx,743988
xm,1747748
xmtr,1657573
xom,34088
xp,1787425
xpev,1810997
xpo,1166003
xray,818479
xrx,1770450
xyl,1524472
y,775368
yelp,1345016
yeti,1670592
ymm,1838413
yndx,1513845
ypf,904851
yum,1041061
yumc,1673358
yy,1530238
z,1617640
zbh,1136869
zbra,877212
zd,1084048
zen,1463172
zg,1617640
zgn,1877787
zh,1835724
zi,1794515
zim,1654126
zion,109380
zip,1617553
zlab,1704292
zm,1585521
znga,1439404
znh,1041668
zntl,1725160
zs,1713683
zto,1677250
zts,1555280
zws,1439288
